etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
-2.4	-2.1	10	13	0.938279	0.00782195	 0.00812145
-2.1	-1.6	10	13	0.974995	0.00403896	 0.00424235
-1.6	-1.2	10	13	0.977577	0.00395026	 0.00419153
-1.2	-0.8	10	13	0.959775	0.00518709	 0.00544347
-0.8	-0.3	10	13	0.979904	0.0046644	 0.00498653
-0.3	-0.2	10	13	0.872587	0.0220494	 0.0236204
-0.2	0.2	10	13	0.965579	0.00821717	 0.00904607
0.2	0.3	10	13	0.8835	0.0268134	 0.0268807
0.3	0.8	10	13	0.970589	0.00554063	 0.00591698
0.8	1.2	10	13	0.964859	0.00519656	 0.005465
1.2	1.6	10	13	0.978241	0.00407246	 0.00431461
1.6	2.1	10	13	0.962082	0.00453646	 0.00473144
2.1	2.4	10	13	0.938227	0.0070952	 0.00738119
-2.4	-2.1	13	16	0.942597	0.0054713	 0.0056906
-2.1	-1.6	13	16	0.980599	0.00269948	 0.0028416
-1.6	-1.2	13	16	0.982916	0.00267445	 0.00283522
-1.2	-0.8	13	16	0.956278	0.00361499	 0.00376029
-0.8	-0.3	13	16	0.978071	0.00286576	 0.00302444
-0.3	-0.2	13	16	0.905144	0.011877	 0.0125071
-0.2	0.2	13	16	0.964785	0.00490302	 0.00515677
0.2	0.3	13	16	0.874841	0.0137019	 0.014319
0.3	0.8	13	16	0.976635	0.00301292	 0.00314323
0.8	1.2	13	16	0.962426	0.00364016	 0.00377747
1.2	1.6	13	16	0.986627	0.00259501	 0.00276867
1.6	2.1	13	16	0.976604	0.00296774	 0.00311102
2.1	2.4	13	16	0.947398	0.00575057	 0.0059988
-2.4	-2.1	16	20	0.943384	0.00368782	 0.00379604
-2.1	-1.6	16	20	0.981604	0.00169361	 0.00176575
-1.6	-1.2	16	20	0.986943	0.00164143	 0.00173493
-1.2	-0.8	16	20	0.968245	0.00219233	 0.00224992
-0.8	-0.3	16	20	0.982619	0.00144139	 0.00149964
-0.3	-0.2	16	20	0.887624	0.00725077	 0.00751597
-0.2	0.2	16	20	0.976722	0.00221414	 0.00230642
0.2	0.3	16	20	0.89173	0.00828099	 0.00848696
0.3	0.8	16	20	0.98321	0.00153849	 0.0015848
0.8	1.2	16	20	0.960642	0.00222151	 0.00222151
1.2	1.6	16	20	0.988081	0.00152936	 0.00161112
1.6	2.1	16	20	0.981175	0.00171454	 0.00178597
2.1	2.4	16	20	0.950033	0.00345103	 0.00354369
-2.4	-2.1	20	25	0.960372	0.00211877	 0.00217075
-2.1	-1.6	20	25	0.987054	0.000916117	 0.000943513
-1.6	-1.2	20	25	0.990821	0.000875895	 0.000912113
-1.2	-0.8	20	25	0.972154	0.00140844	 0.00149676
-0.8	-0.3	20	25	0.986316	0.000815167	 0.000834594
-0.3	-0.2	20	25	0.896826	0.00430636	 0.00429898
-0.2	0.2	20	25	0.975686	0.00119258	 0.0012146
0.2	0.3	20	25	0.886812	0.0044438	 0.00450919
0.3	0.8	20	25	0.985199	0.000831007	 0.000855604
0.8	1.2	20	25	0.97247	0.00135626	 0.00139363
1.2	1.6	20	25	0.990252	0.000919223	 0.000956789
1.6	2.1	20	25	0.986386	0.000937791	 0.000968973
2.1	2.4	20	25	0.963021	0.00201683	 0.00206428
-2.4	-2.1	25	30	0.95868	0.00172427	 0.00176554
-2.1	-1.6	25	30	0.987785	0.000694528	 0.000711908
-1.6	-1.2	25	30	0.993537	0.000599632	 0.000624443
-1.2	-0.8	25	30	0.974498	0.00124549	 0.00149562
-0.8	-0.3	25	30	0.986936	0.000581073	 0.000594991
-0.3	-0.2	25	30	0.906704	0.00289136	 0.00291226
-0.2	0.2	25	30	0.977706	0.00110555	 0.000891681
0.2	0.3	25	30	0.890714	0.0029604	 0.00303897
0.3	0.8	25	30	0.986892	0.00061427	 0.00124254
0.8	1.2	25	30	0.972255	0.0010394	 0.00106123
1.2	1.6	25	30	0.991722	0.000659302	 0.000682432
1.6	2.1	25	30	0.987962	0.000689442	 0.000707516
2.1	2.4	25	30	0.963535	0.00160387	 0.0016264
-2.4	-2.1	30	40	0.961064	0.000941556	 0.00094707
-2.1	-1.6	30	40	0.987646	0.000382544	 0.000386328
-1.6	-1.2	30	40	0.992668	0.000314932	 0.000319567
-1.2	-0.8	30	40	0.973763	0.000491221	 0.000491117
-0.8	-0.3	30	40	0.988599	0.00156138	 0.0015622
-0.3	-0.2	30	40	0.900013	0.00156138	 0.0015622
-0.2	0.2	30	40	0.979118	0.000391241	 0.000389926
0.2	0.3	30	40	0.896374	0.00150892	 0.00152232
0.3	0.8	30	40	0.987777	0.000291756	 0.000295954
0.8	1.2	30	40	0.973147	0.000482051	 0.000484465
1.2	1.6	30	40	0.992057	0.000320789	 0.000330061
1.6	2.1	30	40	0.987884	0.000373655	 0.000379015
2.1	2.4	30	40	0.964581	0.000887458	 0.000893097
-2.4	-2.1	40	60	0.964699	0.000724327	 0.000731104
-2.1	-1.6	40	60	0.986707	0.000290879	 0.000292138
-1.6	-1.2	40	60	0.993657	0.000209477	 0.000213185
-1.2	-0.8	40	60	0.975629	0.000376749	 0.000377197
-0.8	-0.3	40	60	0.989788	0.000212077	 0.000214303
-0.3	-0.2	40	60	0.899767	0.00134488	 0.00134462
-0.2	0.2	40	60	0.979679	0.00033059	 0.000333511
0.2	0.3	40	60	0.893274	0.00140254	 0.00140641
0.3	0.8	40	60	0.98863	0.000225681	 0.000228584
0.8	1.2	40	60	0.975512	0.000380391	 0.000375807
1.2	1.6	40	60	0.992759	0.000223317	 0.000226828
1.6	2.1	40	60	0.98666	0.00029323	 0.000293779
2.1	2.4	40	60	0.96624	0.000701678	 0.000706283
-2.4	-2.1	60	100	0.966535	0.00256376	 0.00264327
-2.1	-1.6	60	100	0.985654	0.00103454	 0.00107734
-1.6	-1.2	60	100	0.994249	0.000693361	 0.00073123
-1.2	-0.8	60	100	0.976346	0.00122507	 0.00125344
-0.8	-0.3	60	100	0.987852	0.000683338	 0.000711295
-0.3	-0.2	60	100	0.89878	0.00473698	 0.00477172
-0.2	0.2	60	100	0.982106	0.00103207	 0.00105479
0.2	0.3	60	100	0.89406	0.00495054	 0.00481893
0.3	0.8	60	100	0.988112	0.000732805	 0.000757143
0.8	1.2	60	100	0.974565	0.00123285	 0.00126128
1.2	1.6	60	100	0.993358	0.000720715	 0.000751707
1.6	2.1	60	100	0.984476	0.00107074	 0.00111175
2.1	2.4	60	100	0.96939	0.00237532	 0.00243692
-2.4	-2.1	100	200	0.949931	0.0078396	 0.00866201
-2.1	-1.6	100	200	0.981032	0.00366018	 0.00401485
-1.6	-1.2	100	200	0.996642	0.00156232	 0.00203162
-1.2	-0.8	100	200	0.964328	0.00434097	 0.00520457
-0.8	-0.3	100	200	0.986122	0.00211705	 0.00236074
-0.3	-0.2	100	200	0.865641	0.0132849	 0.0141111
-0.2	0.2	100	200	0.980751	0.00330494	 0.00364904
0.2	0.3	100	200	0.901667	0.0216337	 0.0140991
0.3	0.8	100	200	0.988433	0.0022806	 0.00251701
0.8	1.2	100	200	0.965228	0.00381595	 0.00410271
1.2	1.6	100	200	0.993371	0.00214234	 0.00247598
1.6	2.1	100	200	0.987005	0.00341054	 0.00382588
2.1	2.4	100	200	0.941904	0.00858842	 0.00951952
