etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
-2.4	-2.1	10	13	0.774102	0.0133284	 0.0135778
-2.1	-1.6	10	13	0.756227	0.0100636	 0.0101673
-1.6	-1.2	10	13	0.728607	0.0117816	 0.0119037
-1.2	-0.8	10	13	0.682879	0.0140331	 0.0142041
-0.8	-0.3	10	13	0.632811	0.0163922	 0.0164849
-0.3	-0.2	10	13	0.627016	0.0514555	 0.0505256
-0.2	0.2	10	13	0.55167	0.0197205	 0.0193063
0.2	0.3	10	13	0.664254	0.0500384	 0.0489353
0.3	0.8	10	13	0.63253	0.0156793	 0.0158355
0.8	1.2	10	13	0.673255	0.0140765	 0.0141498
1.2	1.6	10	13	0.707996	0.0120665	 0.0121792
1.6	2.1	10	13	0.762584	0.0105511	 0.0102837
2.1	2.4	10	13	0.748685	0.013729	 0.0139403
-2.4	-2.1	13	16	0.807538	0.0108162	 0.0112147
-2.1	-1.6	13	16	0.79767	0.00765205	 0.00776799
-1.6	-1.2	13	16	0.791114	0.00865112	 0.00877114
-1.2	-0.8	13	16	0.724735	0.00981136	 0.0100723
-0.8	-0.3	13	16	0.675674	0.0106146	 0.010632
-0.3	-0.2	13	16	0.645161	0.0274214	 0.0272851
-0.2	0.2	13	16	0.648979	0.0137984	 0.0138516
0.2	0.3	13	16	0.641587	0.0316374	 0.0300597
0.3	0.8	13	16	0.692434	0.0102665	 0.0102838
0.8	1.2	13	16	0.725584	0.00960763	 0.00977435
1.2	1.6	13	16	0.784125	0.00861147	 0.00874422
1.6	2.1	13	16	0.809171	0.00770435	 0.00781275
2.1	2.4	13	16	0.795593	0.0116738	 0.0132209
-2.4	-2.1	16	20	0.852176	0.00692171	 0.00727698
-2.1	-1.6	16	20	0.848327	0.00469015	 0.00483112
-1.6	-1.2	16	20	0.828839	0.00550753	 0.0055685
-1.2	-0.8	16	20	0.7936	0.00594044	 0.0060305
-0.8	-0.3	16	20	0.753126	0.00587001	 0.00590919
-0.3	-0.2	16	20	0.749321	0.0154907	 0.0158895
-0.2	0.2	16	20	0.724547	0.00758892	 0.00768169
0.2	0.3	16	20	0.698148	0.0133761	 0.0134545
0.3	0.8	16	20	0.755911	0.00589605	 0.00597925
0.8	1.2	16	20	0.789096	0.00605494	 0.00614029
1.2	1.6	16	20	0.828722	0.00537405	 0.00544699
1.6	2.1	16	20	0.8491	0.00472671	 0.00482183
2.1	2.4	16	20	0.839715	0.00690221	 0.00706099
-2.4	-2.1	20	25	0.899485	0.00395005	 0.00401282
-2.1	-1.6	20	25	0.902676	0.00270814	 0.00275337
-1.6	-1.2	20	25	0.870482	0.00326449	 0.00333112
-1.2	-0.8	20	25	0.848947	0.00350765	 0.00354154
-0.8	-0.3	20	25	0.82655	0.00323903	 0.0033174
-0.3	-0.2	20	25	0.800899	0.00859937	 0.00845607
-0.2	0.2	20	25	0.805204	0.00399356	 0.00399452
0.2	0.3	20	25	0.806979	0.00817209	 0.00837948
0.3	0.8	20	25	0.827554	0.00324443	 0.00328263
0.8	1.2	20	25	0.846718	0.00350337	 0.00355781
1.2	1.6	20	25	0.880774	0.00322567	 0.00327594
1.6	2.1	20	25	0.898098	0.00278275	 0.00280201
2.1	2.4	20	25	0.894518	0.00407726	 0.00417317
-2.4	-2.1	25	30	0.932676	0.00278209	 0.00283445
-2.1	-1.6	25	30	0.927068	0.00193332	 0.00196625
-1.6	-1.2	25	30	0.915222	0.00227674	 0.00232492
-1.2	-0.8	25	30	0.892778	0.00242705	 0.00245493
-0.8	-0.3	25	30	0.876747	0.00213041	 0.00214875
-0.3	-0.2	25	30	0.866557	0.00480459	 0.00492259
-0.2	0.2	25	30	0.86601	0.00218759	 0.00218964
0.2	0.3	25	30	0.872416	0.00471618	 0.00479953
0.3	0.8	25	30	0.882173	0.00204206	 0.00206417
0.8	1.2	25	30	0.889644	0.00255987	 0.00247292
1.2	1.6	25	30	0.91465	0.00225561	 0.00229648
1.6	2.1	25	30	0.928631	0.00194062	 0.00198184
2.1	2.4	25	30	0.92865	0.00274651	 0.00279331
-2.4	-2.1	30	40	0.963007	0.00119046	 0.00120307
-2.1	-1.6	30	40	0.960963	0.000821758	 0.0008253
-1.6	-1.2	30	40	0.952965	0.000926906	 0.000922112
-1.2	-0.8	30	40	0.940667	0.000920737	 0.00092671
-0.8	-0.3	30	40	0.930873	0.000787702	 0.000788274
