etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
-2.4	-2.1	10	13	0.801921	0.010024	 0.0101409
-2.1	-1.6	10	13	0.777589	0.00823587	 0.00817829
-1.6	-1.2	10	13	0.75402	0.00948807	 0.00963505
-1.2	-0.8	10	13	0.6966	0.000259705	 0.000259705
-0.8	-0.3	10	13	0.677027	0.0118756	 0.0118659
-0.3	-0.2	10	13	0.634591	0.0358302	 0.0327608
-0.2	0.2	10	13	0.634699	0.0185218	 0.0191537
0.2	0.3	10	13	0.673948	0.0335647	 0.034326
0.3	0.8	10	13	0.670015	0.0120284	 0.0119974
0.8	1.2	10	13	0.707808	0.0109128	 0.0108144
1.2	1.6	10	13	0.732804	0.00866092	 0.00876184
1.6	2.1	10	13	0.793175	0.00792155	 0.00803057
2.1	2.4	10	13	0.795667	0.0100191	 0.0100859
-2.4	-2.1	13	16	0.848648	0.00817101	 0.00804097
-2.1	-1.6	13	16	0.83364	0.00622859	 0.00647514
-1.6	-1.2	13	16	0.804547	0.00720334	 0.00728652
-1.2	-0.8	13	16	0.758863	0.0075848	 0.00765544
-0.8	-0.3	13	16	0.732316	0.00787934	 0.00785549
-0.3	-0.2	13	16	0.694387	0.0181883	 0.0187243
-0.2	0.2	13	16	0.661558	0.0107913	 0.0109068
0.2	0.3	13	16	0.669634	0.021684	 0.0218368
0.3	0.8	13	16	0.726689	0.0075418	 0.00753924
0.8	1.2	13	16	0.740393	0.00760365	 0.0075666
1.2	1.6	13	16	0.791654	0.00699524	 0.007049
1.6	2.1	13	16	0.831248	0.00606448	 0.00604161
2.1	2.4	13	16	0.84644	0.00887964	 0.00860319
-2.4	-2.1	16	20	0.886077	0.0054082	 0.00566598
-2.1	-1.6	16	20	0.876526	0.00459517	 0.00528051
-1.6	-1.2	16	20	0.852424	0.0042935	 0.00429577
-1.2	-0.8	16	20	0.808129	0.0048136	 0.00481612
-0.8	-0.3	16	20	0.791433	0.00432815	 0.00435339
-0.3	-0.2	16	20	0.748151	0.0134503	 0.0120133
-0.2	0.2	16	20	0.750566	0.00580398	 0.00583545
0.2	0.3	16	20	0.751038	0.0115397	 0.0116298
0.3	0.8	16	20	0.793516	0.00443472	 0.00449819
0.8	1.2	16	20	0.810735	0.00494534	 0.00494928
1.2	1.6	16	20	0.848718	0.00460734	 0.00467486
1.6	2.1	16	20	0.870955	0.00387514	 0.00387201
2.1	2.4	16	20	0.874449	0.00485984	 0.00482195
-2.4	-2.1	20	25	0.920715	0.00295968	 0.00298091
-2.1	-1.6	20	25	0.9106	0.0022479	 0.00225437
-1.6	-1.2	20	25	0.890537	0.00272859	 0.00273761
-1.2	-0.8	20	25	0.862548	0.00286747	 0.00286756
-0.8	-0.3	20	25	0.855263	0.00244886	 0.00245991
-0.3	-0.2	20	25	0.841621	0.00565453	 0.00571442
-0.2	0.2	20	25	0.834498	0.00274718	 0.00275048
0.2	0.3	20	25	0.849286	0.00580037	 0.00580896
0.3	0.8	20	25	0.84916	0.00244086	 0.00244836
0.8	1.2	20	25	0.864125	0.0028397	 0.00284744
1.2	1.6	20	25	0.889241	0.00274687	 0.00274808
