etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
1.6	2.1	40	60	0.969746	0.000559307	 0.000561119
2.1	2.4	40	60	0.921399	0.00139381	 0.00140215
-2.4	-2.1	60	100	0.929653	0.00527189	 0.00534571
-2.1	-1.6	60	100	0.965222	0.00202742	 0.00207364
-1.6	-1.2	60	100	0.986306	0.00132349	 0.00138411
-1.2	-0.8	60	100	0.940764	0.00219988	 0.00223495
-0.8	-0.3	60	100	0.963654	0.00160302	 0.00163562
-0.3	-0.2	60	100	0.834455	0.00636477	 0.00648375
-0.2	0.2	60	100	0.949218	0.00203435	 0.0020671
0.2	0.3	60	100	0.851733	0.00608236	 0.0061873
0.3	0.8	60	100	0.970224	0.00142016	 0.00145332
0.8	1.2	60	100	0.9387	0.00218706	 0.00223445
1.2	1.6	60	100	0.984444	0.00146979	 0.00150824
1.6	2.1	60	100	0.970777	0.00201218	 0.00205821
2.1	2.4	60	100	0.940989	0.00505212	 0.00512805
-2.4	-2.1	100	200	0.9689	0.022886	 0.0236701
-2.1	-1.6	100	200	0.970356	0.00581863	 0.00619551
-1.6	-1.2	100	200	0.978553	0.00439617	 0.00477818
-1.2	-0.8	100	200	0.930134	0.00725902	 0.00754281
-0.8	-0.3	100	200	0.964195	0.00468337	 0.00493148
-0.3	-0.2	100	200	0.862464	0.0173571	 0.0183037
-0.2	0.2	100	200	0.945555	0.00619991	 0.00650497
0.2	0.3	100	200	0.84882	0.0172203	 0.0179466
0.3	0.8	100	200	0.971165	0.00437938	 0.00463684
0.8	1.2	100	200	0.942152	0.00670779	 0.00701209
1.2	1.6	100	200	0.984576	0.00445628	 0.00484418
1.6	2.1	100	200	0.977442	0.00768159	 0.00807468
2.1	2.4	100	200	0.927472	0.0178958	 0.0185262
