etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
-2.4	-2.1	10	13	0.87485	0.0158589	 0.0159232
-2.1	-1.6	10	13	0.943465	0.00991304	 0.0100255
-1.6	-1.2	10	13	0.954618	0.00936404	 0.00960297
-1.2	-0.8	10	13	0.910967	0.0121587	 0.0123849
-0.8	-0.3	10	13	0.918598	0.0149263	 0.0151149
-0.3	-0.2	10	13	0.849763	0.0476362	 0.0483182
-0.2	0.2	10	13	0.941114	0.0237863	 0.0240713
0.2	0.3	10	13	0.772231	0.0477975	 0.0476712
0.3	0.8	10	13	0.947781	0.0132583	 0.0135008
0.8	1.2	10	13	0.895671	0.0120354	 0.0122791
1.2	1.6	10	13	0.948153	0.0104763	 0.0106686
1.6	2.1	10	13	0.95045	0.0111467	 0.0112459
2.1	2.4	10	13	0.877929	0.0165313	 0.0166239
-2.4	-2.1	13	16	0.893365	0.0107943	 0.0110426
-2.1	-1.6	13	16	0.949989	0.00619591	 0.00633216
-1.6	-1.2	13	16	0.97038	0.00559384	 0.00577772
-1.2	-0.8	13	16	0.922385	0.0071837	 0.00729842
-0.8	-0.3	13	16	0.931821	0.00811922	 0.0082893
-0.3	-0.2	13	16	0.861824	0.0251743	 0.0256856
-0.2	0.2	13	16	0.939901	0.0109674	 0.0112165
0.2	0.3	13	16	0.803782	0.024737	 0.0252687
0.3	0.8	13	16	0.945558	0.00755452	 0.00769549
0.8	1.2	13	16	0.935275	0.00703967	 0.00721083
1.2	1.6	13	16	0.957089	0.00636134	 0.00654596
1.6	2.1	13	16	0.955774	0.0067241	 0.00688935
2.1	2.4	13	16	0.885342	0.011013	 0.0111893
-2.4	-2.1	16	20	0.899232	0.00673613	 0.00684037
-2.1	-1.6	16	20	0.952936	0.00346551	 0.00354198
-1.6	-1.2	16	20	0.970592	0.00325622	 0.00335387
-1.2	-0.8	16	20	0.930786	0.00409694	 0.00419609
-0.8	-0.3	16	20	0.949216	0.00372203	 0.00379094
-0.3	-0.2	16	20	0.842815	0.0131313	 0.0134369
-0.2	0.2	16	20	0.946101	0.00493075	 0.00504432
0.2	0.3	16	20	0.831719	0.0126319	 0.0129531
0.3	0.8	16	20	0.953153	0.00364109	 0.00372801
0.8	1.2	16	20	0.943111	0.00398409	 0.00407673
1.2	1.6	16	20	0.97272	0.00318787	 0.00328722
1.6	2.1	16	20	0.956143	0.00356232	 0.00365091
2.1	2.4	16	20	0.914518	0.00662234	 0.00674124
-2.4	-2.1	20	25	0.908998	0.00410691	 0.00415631
-2.1	-1.6	20	25	0.963189	0.00192533	 0.00195963
-1.6	-1.2	20	25	0.977574	0.00171303	 0.00175792
-1.2	-0.8	20	25	0.933204	0.00242735	 0.00245185
-0.8	-0.3	20	25	0.954495	0.00191018	 0.00193911
-0.3	-0.2	20	25	0.844076	0.00669829	 0.0067988
-0.2	0.2	20	25	0.939258	0.0024313	 0.00247751
0.2	0.3	20	25	0.84009	0.00660449	 0.00673797
0.3	0.8	20	25	0.961364	0.00184293	 0.00186486
0.8	1.2	20	25	0.943441	0.00227617	 0.002313
1.2	1.6	20	25	0.977438	0.00178811	 0.00182909
1.6	2.1	20	25	0.971468	0.00185761	 0.00189618
2.1	2.4	20	25	0.91955	0.00405229	 0.00411418
-2.4	-2.1	25	30	0.913724	0.00310825	 0.00314887
-2.1	-1.6	25	30	0.963819	0.00145223	 0.00146903
-1.6	-1.2	25	30	0.979104	0.00120823	 0.00123743
-1.2	-0.8	25	30	0.934334	0.00177498	 0.00181291
-0.8	-0.3	25	30	0.957733	0.00129852	 0.00131278
-0.3	-0.2	25	30	0.853083	0.00435637	 0.00439722
-0.2	0.2	25	30	0.940478	0.00149392	 0.00151104
0.2	0.3	25	30	0.849521	0.00434229	 0.00439224
0.3	0.8	25	30	0.962639	0.00118187	 0.00121084
0.8	1.2	25	30	0.942947	0.00169575	 0.00171195
1.2	1.6	25	30	0.977307	0.00126889	 0.00130225
1.6	2.1	25	30	0.965228	0.00145989	 0.0014838
2.1	2.4	25	30	0.922713	0.00296664	 0.0030004
-2.4	-2.1	30	40	0.913765	0.00169969	 0.0017102
-2.1	-1.6	30	40	0.962069	0.000793113	 0.000798692
-1.6	-1.2	30	40	0.978263	0.000646841	 0.000653876
-1.2	-0.8	30	40	0.936347	0.000878648	 0.00088474
-0.8	-0.3	30	40	0.956839	0.000606029	 0.000610915
-0.3	-0.2	30	40	0.853096	0.00218904	 0.00220965
-0.2	0.2	30	40	0.943751	0.000731628	 0.000735903
0.2	0.3	30	40	0.847382	0.00226512	 0.0023082
0.3	0.8	30	40	0.963931	0.000556787	 0.000558704
0.8	1.2	30	40	0.938622	0.000858113	 0.000860112
1.2	1.6	30	40	0.976083	0.000663544	 0.000672531
1.6	2.1	30	40	0.967599	0.000749741	 0.000757201
2.1	2.4	30	40	0.918148	0.00164844	 0.00165858
-2.4	-2.1	40	60	0.912838	0.00142913	 0.00143716
-2.1	-1.6	40	60	0.964006	0.000587055	 0.000590003
-1.6	-1.2	40	60	0.979965	0.000435864	 0.00043982
-1.2	-0.8	40	60	0.937575	0.000663579	 0.000665829
-0.8	-0.3	40	60	0.958213	0.000489744	 0.000492425
-0.3	-0.2	40	60	0.851884	0.0018488	 0.00186666
-0.2	0.2	40	60	0.944455	0.000612533	 0.000614822
0.2	0.3	40	60	0.850693	0.00185041	 0.00185602
0.3	0.8	40	60	0.964882	0.000445176	 0.000447858
0.8	1.2	40	60	0.941988	0.00063767	 0.00064011
1.2	1.6	40	60	0.979179	0.000446334	 0.000450838
1.6	2.1	40	60	0.967239	0.000563944	 0.000568747
2.1	2.4	40	60	0.917018	0.00139377	 0.00140021
-2.4	-2.1	60	100	0.932716	0.00536828	 0.00545985
-2.1	-1.6	60	100	0.968611	0.00201481	 0.00205622
-1.6	-1.2	60	100	0.985386	0.00131125	 0.00136017
-1.2	-0.8	60	100	0.943147	0.00215607	 0.00219373
-0.8	-0.3	60	100	0.961871	0.00159568	 0.0016277
-0.3	-0.2	60	100	0.848892	0.00604049	 0.0061141
-0.2	0.2	60	100	0.95096	0.00196649	 0.00200264
0.2	0.3	60	100	0.850058	0.0059818	 0.00609739
0.3	0.8	60	100	0.96633	0.00144752	 0.00147794
0.8	1.2	60	100	0.943469	0.00208488	 0.0021406
1.2	1.6	60	100	0.981827	0.0015192	 0.00156765
1.6	2.1	60	100	0.972056	0.0019541	 0.00200218
2.1	2.4	60	100	0.942567	0.00492553	 0.00500467
-2.4	-2.1	100	200	0.892986	0.0218757	 0.0224963
-2.1	-1.6	100	200	0.951857	0.00769304	 0.00804396
-1.6	-1.2	100	200	0.979351	0.00447581	 0.00489034
-1.2	-0.8	100	200	0.940697	0.00636852	 0.00665555
-0.8	-0.3	100	200	0.95922	0.0050837	 0.00532866
-0.3	-0.2	100	200	0.820639	0.0165597	 0.0170188
-0.2	0.2	100	200	0.949718	0.00589206	 0.00620439
0.2	0.3	100	200	0.838192	0.0197484	 0.0206586
0.3	0.8	100	200	0.972293	0.00437742	 0.00463908
0.8	1.2	100	200	0.937277	0.00683376	 0.00710768
1.2	1.6	100	200	0.991222	0.00433946	 0.00473395
1.6	2.1	100	200	0.95911	0.00775582	 0.00811255
2.1	2.4	100	200	0.91995	0.0207605	 0.0210419
