etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
-2.4	-2.1	10	13	0.939816	0.00766707	 0.00799196
-2.1	-1.6	10	13	0.975677	0.00397218	 0.00418112
-1.6	-1.2	10	13	0.978191	0.00390481	 0.00414742
-1.2	-0.8	10	13	0.959949	0.00514195	 0.00539898
-0.8	-0.3	10	13	0.97989	0.00462172	 0.00495179
-0.3	-0.2	10	13	0.868496	0.0218773	 0.0230105
-0.2	0.2	10	13	0.966026	0.00818821	 0.00909671
0.2	0.3	10	13	0.882553	0.0256307	 0.0258486
0.3	0.8	10	13	0.971466	0.00545135	 0.00588552
0.8	1.2	10	13	0.965528	0.00517752	 0.00545235
1.2	1.6	10	13	0.979642	0.00401386	 0.00424001
1.6	2.1	10	13	0.963313	0.00444462	 0.00464436
2.1	2.4	10	13	0.940591	0.00700388	 0.00730129
-2.4	-2.1	13	16	0.945333	0.00537993	 0.0055782
-2.1	-1.6	13	16	0.980876	0.00267052	 0.00281635
-1.6	-1.2	13	16	0.984233	0.00258829	 0.00275609
-1.2	-0.8	13	16	0.957531	0.00356148	 0.00371568
-0.8	-0.3	13	16	0.967485	0.00290471	 0.00290471
-0.3	-0.2	13	16	0.90712	0.0117559	 0.0124295
-0.2	0.2	13	16	0.965003	0.00487659	 0.00514671
0.2	0.3	13	16	0.87722	0.0419044	 0.0143344
0.3	0.8	13	16	0.977256	0.00296258	 0.00311265
0.8	1.2	13	16	0.964153	0.00357017	 0.00371528
1.2	1.6	13	16	0.987421	0.00251137	 0.00268177
1.6	2.1	13	16	0.977362	0.00290997	 0.00306633
2.1	2.4	13	16	0.949966	0.00566511	 0.00589998
-2.4	-2.1	16	20	0.944711	0.00365928	 0.00376184
-2.1	-1.6	16	20	0.982281	0.00166142	 0.00173375
-1.6	-1.2	16	20	0.987355	0.00161619	 0.00170264
-1.2	-0.8	16	20	0.968323	0.00217525	 0.00223943
-0.8	-0.3	16	20	0.983208	0.00141908	 0.00148025
-0.3	-0.2	16	20	0.887017	0.00719341	 0.00747748
-0.2	0.2	16	20	0.977646	0.00217956	 0.00227373
0.2	0.3	16	20	0.89322	0.00818055	 0.00839692
0.3	0.8	16	20	0.98407	0.00149942	 0.00156863
0.8	1.2	16	20	0.961352	0.0022151	 0.0022151
1.2	1.6	16	20	0.988603	0.00148827	 0.0015664
1.6	2.1	16	20	0.981767	0.00167883	 0.00175201
2.1	2.4	16	20	0.950791	0.00340312	 0.00353863
-2.4	-2.1	20	25	0.961677	0.00208513	 0.00213612
-2.1	-1.6	20	25	0.987613	0.000896022	 0.00092529
-1.6	-1.2	20	25	0.99131	0.000855959	 0.000887414
-1.2	-0.8	20	25	0.972481	0.00140081	 0.00149586
-0.8	-0.3	20	25	0.986688	0.000802695	 0.000825712
-0.3	-0.2	20	25	0.897939	0.004211	 0.00421996
-0.2	0.2	20	25	0.976089	0.0011846	 0.00120438
0.2	0.3	20	25	0.886538	0.00446602	 0.00456631
0.3	0.8	20	25	0.985479	0.000824182	 0.000847413
0.8	1.2	20	25	0.972862	0.00134142	 0.00138186
1.2	1.6	20	25	0.990706	0.000898345	 0.00093633
1.6	2.1	20	25	0.98684	0.00092179	 0.000953572
2.1	2.4	20	25	0.964454	0.00198028	 0.00203072
-2.4	-2.1	25	30	0.959667	0.00171122	 0.00174723
-2.1	-1.6	25	30	0.988205	0.000683636	 0.000701425
-1.6	-1.2	25	30	0.993647	0.000590043	 0.000611911
-1.2	-0.8	25	30	0.974159	0.00156613	 0.000991273
-0.8	-0.3	25	30	0.987073	0.00057477	 0.000589945
-0.3	-0.2	25	30	0.907257	0.00287613	 0.00289558
-0.2	0.2	25	30	0.977782	0.00110096	 0.000834257
0.2	0.3	25	30	0.891319	0.00298444	 0.00299969
0.3	0.8	25	30	0.987107	0.000604493	 0.00064462
0.8	1.2	25	30	0.972566	0.0010382	 0.0010464
1.2	1.6	25	30	0.992041	0.000646601	 0.000666513
1.6	2.1	25	30	0.988325	0.000673636	 0.000697419
2.1	2.4	25	30	0.964538	0.00157507	 0.00161063
-2.4	-2.1	30	40	0.961959	0.000931728	 0.000935227
-2.1	-1.6	30	40	0.988029	0.000376911	 0.000379807
-1.6	-1.2	30	40	0.992867	0.000312261	 0.000309916
-1.2	-0.8	30	40	0.974066	0.000482352	 0.000484144
-0.8	-0.3	30	40	0.98878	0.000268697	 0.00027303
-0.3	-0.2	30	40	0.899971	0.00155439	 0.00156626
-0.2	0.2	30	40	0.979206	0.00038748	 0.000386209
0.2	0.3	30	40	0.896565	0.00150909	 0.0015224
0.3	0.8	30	40	0.988017	0.000292444	 0.000292504
0.8	1.2	30	40	0.973495	0.000477192	 0.000479778
1.2	1.6	30	40	0.992343	0.000315951	 0.000322084
1.6	2.1	30	40	0.988143	0.000368976	 0.000374375
2.1	2.4	30	40	0.965547	0.000878586	 0.000880223
-2.4	-2.1	40	60	0.965422	0.000718583	 0.000722991
-2.1	-1.6	40	60	0.986999	0.000288438	 0.000288926
-1.6	-1.2	40	60	0.993823	0.000206351	 0.000209795
-1.2	-0.8	40	60	0.975811	0.000374824	 0.000376231
-0.8	-0.3	40	60	0.989895	0.000210658	 0.000213112
-0.3	-0.2	40	60	0.899906	0.00133366	 0.00134847
-0.2	0.2	40	60	0.979761	0.000324362	 0.000327355
0.2	0.3	40	60	0.893406	0.00140086	 0.00140009
0.3	0.8	40	60	0.988742	0.000224574	 0.000227157
0.8	1.2	40	60	0.975798	0.000376187	 0.000375504
1.2	1.6	40	60	0.992987	0.000219067	 0.000222566
1.6	2.1	40	60	0.986937	0.000289491	 0.000290892
2.1	2.4	40	60	0.966901	0.000694119	 0.000698918
-2.4	-2.1	60	100	0.96762	0.00254272	 0.00262107
-2.1	-1.6	60	100	0.985807	0.00102869	 0.00107277
-1.6	-1.2	60	100	0.994315	0.000684213	 0.0007236
-1.2	-0.8	60	100	0.976714	0.00122489	 0.00123559
-0.8	-0.3	60	100	0.987909	0.000708714	 0.000708714
-0.3	-0.2	60	100	0.898387	0.00476483	 0.00480775
-0.2	0.2	60	100	0.98199	0.00127649	 0.00132019
0.2	0.3	60	100	0.893586	0.00502474	 0.00486485
0.3	0.8	60	100	0.988166	0.000730225	 0.000752807
0.8	1.2	60	100	0.974801	0.00122993	 0.00125947
1.2	1.6	60	100	0.993477	0.000714888	 0.00074791
1.6	2.1	60	100	0.984568	0.00106691	 0.00110928
2.1	2.4	60	100	0.970357	0.00235599	 0.00241222
-2.4	-2.1	100	200	0.963371	0.0109193	 0.0119503
-2.1	-1.6	100	200	0.980375	0.00370112	 0.00406953
-1.6	-1.2	100	200	0.996418	0.00389994	 0.00420392
-1.2	-0.8	100	200	0.964595	0.00389994	 0.00420392
-0.8	-0.3	100	200	0.98583	0.00214033	 0.0023833
-0.3	-0.2	100	200	0.865002	0.0138065	 0.0142799
-0.2	0.2	100	200	0.980547	0.00333179	 0.00372528
0.2	0.3	100	200	0.901685	0.013112	 0.0142311
0.3	0.8	100	200	0.988305	0.00227211	 0.0025087
0.8	1.2	100	200	0.965174	0.00382191	 0.00409617
1.2	1.6	100	200	0.993606	0.00213375	 0.00248274
1.6	2.1	100	200	0.987616	0.00334295	 0.00376453
2.1	2.4	100	200	0.941881	0.00865196	 0.00971761
