etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
-1.2	-0.8	30	40	0.888335	0.00246062	 0.00251284
-0.8	-0.3	30	40	0.955698	0.00139364	 0.00139431
-0.3	-0.2	30	40	0.785966	0.00619911	 0.00618479
-0.2	0.2	30	40	0.907412	0.0021003	 0.00211712
0.2	0.3	30	40	0.84104	0.00561671	 0.00570834
0.3	0.8	30	40	0.953055	0.00142596	 0.00145024
0.8	1.2	30	40	0.881942	0.00258567	 0.00259503
1.2	1.6	30	40	0.890511	0.00276091	 0.00281083
1.6	2.1	30	40	0.856869	0.00295978	 0.00296357
2.1	2.4	30	40	0.793701	0.0048679	 0.00488302
-2.4	-2.1	40	60	0.832463	0.00396149	 0.00400938
-2.1	-1.6	40	60	0.857174	0.00234304	 0.00235115
-1.6	-1.2	40	60	0.917839	0.00166988	 0.00168827
-1.2	-0.8	40	60	0.888354	0.00194624	 0.00195147
-0.8	-0.3	40	60	0.958622	0.00108767	 0.00109974
-0.3	-0.2	40	60	0.814639	0.0046265	 0.00469268
-0.2	0.2	40	60	0.91422	0.0017148	 0.00172943
0.2	0.3	40	60	0.85302	0.00449599	 0.00453771
0.3	0.8	40	60	0.959543	0.00108023	 0.00109342
0.8	1.2	40	60	0.891694	0.00181965	 0.00183701
1.2	1.6	40	60	0.90171	0.00195579	 0.00197605
1.6	2.1	40	60	0.876567	0.0021456	 0.00211765
2.1	2.4	40	60	0.822753	0.00393249	 0.00390759
-2.4	-2.1	60	100	0.861336	0.0117249	 0.0121282
-2.1	-1.6	60	100	0.869001	0.00720458	 0.00745078
-1.6	-1.2	60	100	0.926311	0.00549537	 0.00570072
-1.2	-0.8	60	100	0.889407	0.00603977	 0.00632527
-0.8	-0.3	60	100	0.956348	0.00346829	 0.00360234
-0.3	-0.2	60	100	0.760948	0.0158333	 0.0162423
-0.2	0.2	60	100	0.918508	0.00483535	 0.00492889
0.2	0.3	60	100	0.826731	0.0149911	 0.0154564
0.3	0.8	60	100	0.958681	0.00304541	 0.00320505
0.8	1.2	60	100	0.888088	0.00638632	 0.00655357
1.2	1.6	60	100	0.917125	0.00578586	 0.00600609
1.6	2.1	60	100	0.870126	0.00731106	 0.00752693
2.1	2.4	60	100	0.850933	0.0132874	 0.0137792
-2.4	-2.1	100	200	0.847337	0.033955	 0.038897
-2.1	-1.6	100	200	0.795474	0.0227811	 0.0240819
-1.6	-1.2	100	200	0.892361	0.0167472	 0.0185699
-1.2	-0.8	100	200	0.894969	0.0224604	 0.0296241
-0.8	-0.3	100	200	0.967616	0.00904942	 0.0103206
-0.3	-0.2	100	200	0.780637	0.0425049	 0.0452163
-0.2	0.2	100	200	0.924367	0.0123694	 0.013826
0.2	0.3	100	200	0.847354	0.0415615	 0.0460937
0.3	0.8	100	200	0.963549	0.0129537	 0.017984
0.8	1.2	100	200	0.893856	0.0182149	 0.0177949
1.2	1.6	100	200	0.851404	0.0214363	 0.0227493
1.6	2.1	100	200	0.852787	0.0192009	 0.0206786
2.1	2.4	100	200	0.797528	0.0469533	 0.0513991
