etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
-2.1	-1.6	30	40	0.847619	0.00146003	 0.00145879
-1.6	-1.2	30	40	0.906625	0.0012343	 0.00122435
-1.2	-0.8	30	40	0.913285	0.00106505	 0.00106858
-0.8	-0.3	30	40	0.950295	0.000695523	 0.000692267
-0.3	-0.2	30	40	0.819956	0.00273023	 0.00274311
-0.2	0.2	30	40	0.936093	0.000827878	 0.000827363
0.2	0.3	30	40	0.85396	0.00250412	 0.00251902
0.3	0.8	30	40	0.949525	0.000693426	 0.000689398
0.8	1.2	30	40	0.911958	0.0010794	 0.00108455
1.2	1.6	30	40	0.894768	0.00129158	 0.00127683
1.6	2.1	30	40	0.857476	0.00141233	 0.00143183
2.1	2.4	30	40	0.793848	0.00241762	 0.00240038
-2.4	-2.1	40	60	0.844992	0.00191577	 0.00190611
-2.1	-1.6	40	60	0.861251	0.00108643	 0.00108339
-1.6	-1.2	40	60	0.925063	0.000818923	 0.000821279
-1.2	-0.8	40	60	0.924526	0.000787648	 0.00078969
-0.8	-0.3	40	60	0.956844	0.00052571	 0.000528254
-0.3	-0.2	40	60	0.824504	0.00228932	 0.0023031
-0.2	0.2	40	60	0.945905	0.000649598	 0.000653579
0.2	0.3	40	60	0.858495	0.00211009	 0.00212025
0.3	0.8	40	60	0.956224	0.000528015	 0.000529809
0.8	1.2	40	60	0.922205	0.000782928	 0.000782851
1.2	1.6	40	60	0.911002	0.000883869	 0.000888637
1.6	2.1	40	60	0.868071	0.00106286	 0.00105562
2.1	2.4	40	60	0.813631	0.00198102	 0.00197361
-2.4	-2.1	60	100	0.843599	0.0065178	 0.00646492
-2.1	-1.6	60	100	0.865023	0.00363453	 0.00354923
-1.6	-1.2	60	100	0.926875	0.00262928	 0.00270102
-1.2	-0.8	60	100	0.927467	0.00252358	 0.00256875
-0.8	-0.3	60	100	0.958278	0.00155924	 0.00153011
-0.3	-0.2	60	100	0.829498	0.00694818	 0.00704459
-0.2	0.2	60	100	0.947506	0.00393399	 0.00188693
